date,total_deaths
20200127,168.21182266009853
20200128,168.21182266009853
20200129,168.21182266009853
20200130,168.21182266009853
20200131,168.21182266009853
20200201,168.21182266009853
20200202,168.21182266009853
20200203,168.21182266009853
20200204,168.21182266009853
20200205,168.21182266009853
20200206,168.21182266009853
20200207,168.21182266009853
20200208,168.21182266009853
20200209,168.21182266009853
20200210,168.21182266009853
20200211,168.21182266009853
20200212,168.21182266009853
20200213,168.21182266009853
20200214,168.21182266009853
20200215,168.21182266009853
20200216,168.21182266009853
20200217,168.21182266009853
20200218,168.21182266009853
20200219,168.21182266009853
20200220,168.21182266009853
20200221,168.21182266009853
20200222,168.21182266009853
20200223,168.21182266009853
20200224,168.21182266009853
20200225,168.21182266009853
20200226,168.21182266009853
20200227,168.21182266009853
20200228,168.21182266009853
20200229,168.21182266009853
20200301,168.21182266009853
20200302,168.21182266009853
20200303,168.21182266009853
20200304,168.21182266009853
20200305,168.21182266009853
20200306,168.21182266009853
20200307,168.21182266009853
20200308,168.21182266009853
20200309,168.21182266009853
20200310,168.21182266009853
20200311,168.21182266009853
20200312,168.21182266009853
20200313,168.21182266009853
20200314,168.21182266009853
20200315,168.21182266009853
20200316,168.21182266009853
20200317,168.21182266009853
20200318,168.21182266009853
20200319,168.21182266009853
20200320,168.21182266009853
20200321,168.21182266009853
20200322,168.21182266009853
20200323,168.21182266009853
20200324,168.21182266009853
20200325,168.21182266009853
20200326,168.21182266009853
20200327,168.21182266009853
20200328,1.0
20200329,1.0
20200330,2.0
20200331,2.0
20200401,3.0
20200402,4.0
20200403,4.0
20200404,5.0
20200405,5.0
20200406,5.0
20200407,6.0
20200408,7.0
20200409,7.0
20200410,7.0
20200411,7.0
20200412,7.0
20200413,7.0
20200414,7.0
20200415,7.0
20200416,7.0
20200417,7.0
20200418,7.0
20200419,7.0
20200420,7.0
20200421,7.0
20200422,7.0
20200423,7.0
20200424,7.0
20200425,7.0
20200426,7.0
20200427,7.0
20200428,7.0
20200429,7.0
20200430,7.0
20200501,7.0
20200502,7.0
20200503,7.0
20200504,8.0
20200505,9.0
20200506,9.0
20200507,9.0
20200508,9.0
20200509,9.0
20200510,9.0
20200511,9.0
20200512,9.0
20200513,9.0
20200514,9.0
20200515,9.0
20200516,9.0
20200517,9.0
20200518,9.0
20200519,9.0
20200520,9.0
20200521,9.0
20200522,9.0
20200523,9.0
20200524,9.0
20200525,10.0
20200526,10.0
20200527,10.0
20200528,10.0
20200529,10.0
20200530,10.0
20200531,10.0
20200601,11.0
20200602,11.0
20200603,11.0
20200604,11.0
20200605,11.0
20200606,11.0
20200607,11.0
20200608,11.0
20200609,11.0
20200610,11.0
20200611,11.0
20200612,11.0
20200613,11.0
20200614,11.0
20200615,11.0
20200616,11.0
20200617,11.0
20200618,11.0
20200619,11.0
20200620,11.0
20200621,11.0
20200622,11.0
20200623,11.0
20200624,11.0
20200625,11.0
20200626,11.0
20200627,11.0
20200628,11.0
20200629,11.0
20200630,11.0
20200701,11.0
20200702,11.0
20200703,11.0
20200704,11.0
20200705,11.0
20200706,11.0
20200707,11.0
20200708,11.0
20200709,11.0
20200710,11.0
20200711,11.0
20200712,11.0
20200713,11.0
20200714,11.0
20200715,11.0
20200716,11.0
20200717,11.0
20200718,11.0
20200719,11.0
20200720,11.0
20200721,11.0
20200722,11.0
20200723,11.0
20200724,11.0
20200725,11.0
20200726,11.0
20200727,11.0
20200728,11.0
20200729,11.0
20200730,11.0
20200731,11.0
20200801,11.0
20200802,11.0
20200803,11.0
20200804,11.0
20200805,11.0
20200806,11.0
20200807,11.0
20200808,11.0
20200809,11.0
20200810,11.0
20200811,11.0
20200812,11.0
20200813,11.0
20200814,11.0
20200815,11.0
20200816,11.0
20200817,11.0
20200818,11.0
20200819,11.0
20200820,11.0
20200821,11.0
20200822,12.0
20200823,12.0
20200824,12.0
20200825,12.0
20200826,12.0
20200827,12.0
20200828,12.0
20200829,12.0
20200830,12.0
20200831,12.0
20200901,12.0
20200902,12.0
20200903,12.0
20200904,12.0
20200905,12.0
20200906,12.0
20200907,12.0
20200908,12.0
20200909,12.0
20200910,12.0
20200911,12.0
20200912,12.0
20200913,12.0
20200914,13.0
20200915,13.0
20200916,13.0
20200917,13.0
20200918,13.0
20200919,13.0
20200920,13.0
20200921,13.0
20200922,13.0
20200923,13.0
20200924,13.0
20200925,13.0
20200926,13.0
20200927,13.0
20200928,13.0
20200929,13.0
20200930,13.0
20201001,13.0
20201002,13.0
20201003,13.0
20201004,13.0
20201005,13.0
20201006,13.0
20201007,13.0
20201008,13.0
20201009,13.0
20201010,13.0
20201011,13.0
20201012,13.0
20201013,13.0
20201014,13.0
20201015,13.0
20201016,13.0
20201017,13.0
20201018,13.0
20201019,13.0
20201020,13.0
20201021,13.0
20201022,14.0
20201023,14.0
20201024,15.0
20201025,16.0
20201026,16.0
20201027,19.0
20201028,19.0
20201029,19.0
20201030,19.0
20201031,20.0
20201101,21.0
20201102,21.0
20201103,23.0
20201104,24.0
20201105,29.0
20201106,30.0
20201107,34.0
20201108,35.0
20201109,36.0
20201110,41.0
20201111,46.0
20201112,48.0
20201113,53.0
20201114,53.0
20201115,58.0
20201116,61.0
20201117,66.0
20201118,69.0
20201119,73.0
20201120,74.0
20201121,83.0
20201122,87.0
20201123,90.0
20201124,94.0
20201125,96.0
20201126,99.0
20201127,107.0
20201128,109.0
20201129,116.0
20201130,118.0
20201201,122.0
20201202,124.0
20201203,129.0
20201204,130.0
20201205,137.0
20201206,140.0
20201207,142.0
20201208,142.0
20201209,144.0
20201210,146.0
20201211,147.0
20201212,149.0
20201213,152.0
20201214,154.0
20201215,154.0
20201216,160.0
20201217,160.0
20201218,165.0
20201219,171.0
20201220,176.0
20201221,181.0
20201222,183.0
20201223,184.0
20201224,185.0
20201225,186.0
20201226,187.0
20201227,191.0
20201228,194.0
20201229,195.0
20201230,199.0
20201231,204.0
20210101,208.0
20210102,211.0
20210103,211.0
20210104,215.0
20210105,217.0
20210106,219.0
20210107,222.0
20210108,225.0
20210109,229.0
20210110,232.0
20210111,240.0
20210112,244.0
20210113,247.0
20210114,251.0
20210115,255.0
20210116,256.0
20210117,264.0
20210118,270.0
20210119,273.0
20210120,274.0
20210121,276.0
20210122,278.0
20210123,280.0
20210124,283.0
20210125,287.0
20210126,288.0
20210127,290.0
20210128,297.0
20210129,305.0
20210130,313.0
20210131,316.0
20210201,323.0
20210202,330.0
20210203,332.0
20210204,339.0
20210205,343.0
20210206,351.0
20210207,356.0
20210208,365.0
20210209,370.0
20210210,375.0
20210211,379.0
20210212,384.0
20210213,390.0
20210214,397.0
20210215,403.0
20210216,409.0
20210217,422.0
20210218,430.0
20210219,433.0
20210220,435.0
20210221,445.0
20210222,450.0
20210223,453.0
20210224,457.0
20210225,459.0
20210226,464.0
20210227,464.0
20210228,464.0
20210301,476.0
20210302,483.0
20210303,484.0
20210304,489.0
20210305,493.0
20210306,493.0
20210307,502.0
20210308,507.0
20210309,511.0
20210310,511.0
20210311,520.0
20210312,525.0
20210313,526.0
20210314,527.0
20210315,532.0
20210316,532.0
20210317,537.0
20210318,537.0
20210319,544.0
20210320,544.0
20210321,546.0
20210322,551.0
20210323,552.0
20210324,552.0
20210325,554.0
20210326,557.0
20210327,558.0
20210328,561.0
20210329,566.0
20210330,566.0
20210331,568.0
20210401,571.0
20210402,571.0
20210403,575.0
20210404,581.0
20210405,581.0
20210406,586.0
20210407,588.0
20210408,591.0
20210409,593.0
20210410,595.0
20210411,598.0
20210412,598.0
20210413,602.0
20210414,602.0
20210415,608.0
20210416,615.0
20210417,615.0
20210418,618.0
20210419,620.0
20210420,620.0
20210421,630.0
20210422,634.0
20210423,634.0
20210424,638.0
20210425,642.0
20210426,647.0
20210427,647.0
20210428,661.0
20210429,661.0
20210430,678.0
20210501,687.0
20210502,696.0
20210503,709.0
20210504,709.0
20210505,734.0
20210506,745.0
20210507,764.0
